startup_name,startup_oneliner,startup_desc,year_founded,origin_country,startup_url,industry_1,industry_2,industry_3,industry_4,industry_5
Firegent,zero coding data repository and organizer,"Firegent provides a data sharing platform for distributed teams with zero coding. Using A.I. to automatically mine data from
various documents so that it can be easily shared, re-used and analysed visually.",2003,null,https://firegent.com,Information & Communication ,null,null,null,null
Inference,computer vision software solutions,"Inference Tech Sdn Bhd (Inference) is an A.I. solution provider specialising in hardware-agnostic computer vision solutions.
Inference develops and markets computer vision software which effortlessly integrates into a variety of visual capture devices
such as CCTV cameras, drones, robotics, wearables, and mobile devices. Inference turns visual data - i.e. videos and photos -
captured by these devices into meaningful, actionable insight.",2019,Malaysia,http://inference.asia,Information & Communication ,null,null,null,null
NEUON AI,treat plants with AI,"NEUON AI is equipped with talents, equipment and resources to provide customisable Artificial Intelligence (A.I.) solutions,
specialising on Computer Vision to their customers. NEUON AI technology in agriculture, namely Centre of Crop Disease Control
(CCDC), can identify plant species/diseases and subsequently recommend suitable treatments by just using images.
CCDC is a consolidated platform that connects stakeholders to address the global crop losses that worth billion dollars. For
technical supports and deliveries, NEUON AI has officially secured partnership with agriculture research institutes from France
and also several researchers from international and local universities and also agriculture tech-partners.",2018,Malaysia,https://neuon.ai,Agriculture,null,null,null,null
SF Techlogis,real time logistic visibility,"SF Techlogis is a technology driven company delivery concept. We are building the first ever logistic gateway for businesses in
Malaysia with the aim of efficiency and provide real-time visibility across the supply chain.",2017,Malaysia,https://www.sftechlogis.com,Logistic & Transportation,null,null,null,null
SmartPeep,SmartBridge Health solves the problem of cancer misdiagnoses by connecting  patients to our platform of top US and UK cancer doctors for personalized and  unbiased cancer treatment plans. ,"SmartPeep is an AI med-tech startup that monitors patients and elderly people in ward with cameras, enabling nurses to get notified for emergent situations and provide proactive care at all times.",2017,Singapore,http://www.smartpeep.ai,"Medical, Health & Wellness",null,null,null,null
Tellnsearch,"Tellnsearch helps businesses grow by identifying and matching them with the right talent fit for their organisation, usingbehavioural science and artificial intelligence.","Tellnsearch helps businesses grow by identifying and matching them with the right talent fit for their organisation, using
behavioural science and artificial intelligence.",2014,Malaysia,https://www.tellnsearch.com/,Information & Communication ,null,null,null,null
WavPay,cashless transaction platform,"Wavpay is a Fintech focused company that provides a platform to conduct cashless transactions through its multi-wallet system
as well as easily accessible microfinance services leveraging on our Wavpay A.I. technologies. The vision is to incorporate a
seamless ecosystem within the everyday lifestyle of people which goes beyond payment.",2017,Malaysia,http://www.wavpay.net,Finance,null,null,null,null
iReka,One stop solution for building and owning affordable houses as well as financial accessibility in the form of loans,"specialized in developing native iOS, Android and Laravel apps.",2017,Malaysia,http://irekasoft.com,Consulting & Services,null,null,null,null
WTP,Solutions transforming waste water to energy in rural communities,Marketing Advertising platform for TV channels,2018,India,https://youtu.be/_nl-1D9tnzg,Media and Entertainment,null,null,null,null
Cheqqme,null,Customer engagement through gamification,2014,Malaysia,http://cheqqme.com,Social,null,null,null,null
Easy Parcel,best delivery rate on  domestic and international deliveries. Make quick booking and get clear update of all  your parcels under one dashboard.,Provider of a web-based courier delivery platform. The company offers an online platform that enables users to check delivery rates and book delivery services for parcels.,2014,Malaysia,https://easyparcel.com/,Logistic & Transportation,null,null,null,null
BioGenes Technologies,"Simplified diagnostics for human healthcare, food production and environmental monitoring","BioGenes develops and commercialises aptamer-based biosensor devices and systems that are used in screening and diagnosis of pathogens, biomarkers, toxins and pollutants, with 5G internet capability for data transfer, analytics and monitoring",2015,Malaysia,https://www.biogenestech.com/,"Medical, Health & Wellness",null,null,null,null
Cantikful,"A marketplace exclusively for Malaysian health & beauty, skincare and cosmetics.","Cantikful is an e-commerce platform exclusively for Malaysian Health & Beauty, Cosmetics and Wellness products and services.",2018,Malaysia,http://www.cantikful.my,E-Commerce,"Medical, Health & Wellness",null,null,null
Food Market Hub,Food Market Hub is a supply platform that focuses on purchasing  and inventory for Restaurants and suppliers of B2B online ordering system ,"Food Market Hub is Restaurant Purchasing and Inventory System to help restaurant group to control purchasing, inventory, costing, wastage, production from outlet until central Kitchen. It also come with B2B module to link restaurant purchasing with F&B suppliers. ",2017,Malaysia,https://foodmarkethub.com/cloud/,Food & Beverages,null,null,null,null
Zaytech Solutions,The CuttingPen is a medical device that is being used for minor surgeries.,"Zaytech Solutions Sdn Bhd (Zaytech) was established on 6 March 2017. Since its incorporation, Zaytech has been involved in prototype development of CuttingPen, a medical device. Apart of that, we have setup the production line for Printed Circuit Board (PCB) assembly.

At Zaytech, we instill the phrase â€œCreating ARCSâ€ as our culture. Arc is an extended storyline in episodic storytelling. Similarly, an arc can be recognized as a chapter. By incorporating creating arcs in our culture, it means that we are creating chapters of new technologies into the market. On the other hand, ARCS is the acronym of our core values; Altruistic, Respect, Credible, & Simplicity.",2017,Malaysia,http://zaytechsolutions.com,"Medical, Health & Wellness",null,null,null,null
Jom Parking,null,"JomParking is a comprehensive Mobile Apps to ease Parking payment in Malaysia. You may perform the transaction anywhere using your mobile phones and no need to display your parking coupon on your dashboard. It is easy, convenience and user-friendly. JomParking will generate online reporting that useful to made decision. It will help local council, parking operator, and public to manage parking solution.",2017,Malaysia,http://www.jomparking.com,null,null,null,null,null
SERV,SERV is a mobility focus technology company with 2 main product directions; consumer mobility and autonomous mobility.,we are developing a mobile application platform to help urban car users to service their car at their door step.,2013,Malaysia,https://serv.my/,Automotive,Consulting & Services,Information & Communication ,null,null
Applied Energy Solutions,null,"AES Sdn Bhd  is a group of companies operating in the renewable energy market essentially in solar industry. We have a strong track record in delivering products and system solutions for micro grid and mini grid applications. We are focusing our business activities on the local energy markets in Asia. Our track record is supported by our innovative power conditioning, novel storage and control products as well as our experience as a system integrator for remote renewable power systems ranging from 10kW to multi-megawatt in scale. Expecting to finish 107 rural schools current solar hybrid programme in Sarawak by 2019.",null,Malaysia,https://www.facebook.com/Applied-Energy-Solutions-237894663740310/,Energy,null,null,null,null
Beli Ubat,null,Personalised medicines using integrated medical records ,null,Malaysia,https://www.beliubat.com/,Chemicals,"Medical, Health & Wellness",null,null,null
Collective Harvest,Collective Harvest is a Social Enterprise that empowers the marginalized in society through farming and actively involving them in every aspect of the supply chain.,Collective Harvest is a Social Enterprise that empowers the marginalized in society through farming and actively involving them in every aspect of the supply chain.,null,Malaysia,https://www.collectiveharvest.co/,Agriculture,null,null,null,null
De Atoq Pins And Needles,De Atoq Pins And Needles is providing sewing skills to help refugees earn money to support their life.,"DeAtoq Pins and Needle is a social business that reuse waste creatively by using textile waste and turn it into new product. We aim to inspire our surrounding with upcycling and fun approaches method for sustainable living. We have impacted 4 rohingyan refugees in total. Collecting more than 900kg of textile wastages, involving 3 residential areas and 1 bundle owner. We believe that our initiatives is part of the opportunity in our society to makes our society resilient and contributing towards a better nation. From small beginning comes great things.",null,Malaysia,https://www.facebook.com/deatoqpinsandneedles/,null,null,null,null,null
FAVORIOT,"We are an Internet of Things (IoT) Startup with a mission to ""IoTise"" every industry.","We are an Internet of Things (IoT) Startup with a mission to ""IoTise"" every industry.
Favoriot is your preferred partner that provide an IoT platform, tools and services to help you become more innovative, effective and productive.

We help IoT developers rapidly develop new and innovative IoT solutions using our IoT platform.

We offer an effective engagement crowdsensing platform for various stakeholders to build smarter operations.

We offer a simple and effective solution to monitor the most important assets of an individual i.e. health and safety.

We offer D'scover app that helps to track Group travelers - https://www.favoriot.com/dscover",2017,Malaysia,https://www.favoriot.com/,Consulting & Services,Education,Environment,Information & Communication ,Logistic & Transportation
Good Hijab,null,Good Hijab is using used old shawl to turn to beautiful pouches as a gifts to reduce landfill waste and promote Fashion Tech program to develop more ethical fashion designer .,null,Malaysia,https://www.facebook.com/GoodHijabMalaysia/,Halal & Islamic,null,null,null,null
Grub Cycle,A social supermarket dedicated to reduce food waste by selling edible leftover food at below market price,Grub Cycle is a social supermarket that is dedicated to reducing food waste.,2016,Malaysia,https://grubcycle.my/,E-Commerce,Food & Beverages,Social,null,null
Habibu,"HABIBU IS A SOCIAL ENTERPRISE THAT CURATE A PLATFORM TO SELLS, COLLABORATED, REVIEW AND SHOWCASES EXCLUSIVELY FOR LOCAL ENTREPRENEUR PRODUCTS AND SERVICES FOR MOTHER AND CHILDREN. ","Habibu is a curated platform for mothers that provides a simple and easy experience to shop products, services & community events that are current.",2017,Malaysia,https://www.habibu.my/,Lifestyle & Fashion,null,null,null,null
Havan Clothing,"All our designs are inspired by the shelter-home children. When customers buy clothing from Havan, they will directly recognize a child's creativity. ",Empower Shelter-Home Children Through Fashion,2017,Malaysia,https://www.havanclothing.com/,Lifestyle & Fashion,null,null,null,null
iLuvQuran,"iLuvQuran focused on building age-appropriate, creative and engaging Quran understanding (tafseer) lessons for children.","We study, research, produce and implement fun, engaging, Quran learning materials for children and teenagers with a social base of education for orphans and income generation for qualified Quran teachers. ",null,Malaysia,http://iluvquran.com/,Halal & Islamic,null,null,null,null
JomPandai Matematik,null,"My company, JomPandai Matematik is developing a thinking proficiency module to help children master problem solving strategies using Mathematics.",null,Malaysia,https://cikguai.com/jom-pandai-matematik/,Education,null,null,null,null
Kelas App,Mobile learning for all,All ICT Digital Services Provides,2017,Malaysia,http://www.kelasapp.com,Education,Information & Communication ,Jobs & HR,null,null
Knocked Out Youth Enterprise,null,Ethical. Sustainable. Expert. The Good Tailor aspires to be Malaysia's most ethical and transparent garment manufacturing company.,null,Malaysia,https://koyaclothing.my/,Lifestyle & Fashion,null,null,null,null
MYReaders Malaysia (Persatuan Literasi Anak Malaysia),null,"At MYReaders, we empower children through communities by providing structured & sustainable reading programmes",2017,Malaysia,http://www.myreaders.org.my/,Education,null,null,null,null
AnB Agro Trainers,Creating Livelihoods via Agriculture ,"AnB Agro Trainers is a social entrepreneurship up in north Malaysia focusing on creation of sustainable livelihood for youths, single mothers and their children and also senior citizens. We work in harmony with multicultural villagers. We make our presence by coaching them and up skilling them via agriculture activities, capacity building and cottage industry, also we offer agriculture guidance/advise. To date we have many success stories , touched many lives and still continuously working to instilling better future for our community.",null,Malaysia,http://anbagrotrainers.wix.com/anb-agro-trainers,Agriculture,null,null,null,null
BATIK BOUTIQUE,"A social enterprise producing high quality, hand-made Batik products made by artisans in Malaysia","A social enterprise producing high quality, hand-made Batik products made by artisans in Malaysia",2014,Malaysia,https://www.thebatikboutique.com/,Lifestyle & Fashion,null,null,null,null
Biji-Biji Initiative,The Biji-biji Initiative is a social enterprise that aims to share progressive ideas with everyone,"The Biji-biji Initiative is a social enterprise founded in 2012 at Kuala Lumpur, Malaysia. Our mission is to champion sustainable living and to reuse waste creatively. By using discarded materials, basic electronics and passive building techniques we aim to inspire our surrounding with our creations: our already famous bags all hand-made with recycled materials, our alternative energies' projects and our impressive art installations that you can find in the most popular festival in Malaysia and elsewhere! Just follow us to know where we are and what we do ;) 

For international volunteers who would like to join our collective, please check our listing here: http://www.helpx.net/host.asp?hostid=26150 or email to volunteer@biji-biji.com

For internships or job applications, email your resume and cover letter to careers@biji-biji.com",2013,Malaysia,http://www.biji-biji.com,Art & Craft,Environment,null,null,null
Dialogue in the Dark,null,Dialogue in the Dark is one of the world's most exciting life-changing experiences where visitors are guided by blind guides in absolute darkness,null,Malaysia,http://dialogue-in-the-dark.com,Education,null,null,null,null
Food for Good Project,null,We bring corporate business to restaurants and convert corporate dining spending ($) into impactful CSR projects,2014,Malaysia,https://foodforgoodproject.com/,Food & Beverages,null,null,null,null
Heart Treasures,A dignity-for-life transformation to our angels who have intellectual special abilities to become Artisan in developing their skills in the art of crafting as part of therapy.,"We launched an Ecological Program as part of our occupational therapy and motor skills development with the aim of using 3R : Reuse, Redecorate and Reduce with a cause to create social and environmental sustainability as bringing forth growth to prosper our society. 
It also giving career opportunities and to transform societyâ€™s dream  by helping them to help themselves in a way of dignity and independently for our spectrum gifted community with autisms, development delay (slow learner), cerebral palsy, deaf & mute, attention deficit hyperactivity disorder (ADHD), physical disability, orphan, depression mother and single mother future.",null,Malaysia,https://www.facebook.com/pg/hearttreasuressb/,Education,Social,null,null,null
Lembah Bujang Ecopark,null,Lembah Bujang Ecopark is a travel agency that supports atuition centre of at least 100 children from the low-income community in Lembah Bujang.,2012,Malaysia,http://lembahbujang.com,Travel & Tourism,null,null,null,null
Tanoti,"Community of artisans dedicated towards the preservation of heritage craft, women empowerment and rural community building.","Tanoti Sdn Bhd is a congregation of Sarawakian women weavers and artisans dedicated towards the production, promotion and proliferation of hand-crafted fabrics",2012,Malaysia,http://tanoticrafts.com,E-Commerce,null,null,null,null
The Truly Loving Company (TLC),"The Truly Loving Company is a social enterprise that uses a corporate profit model to build a brand to generate long term, sustainable income for charities.","The â€œTLCâ€ brand produces mainly household products that are as good if not better than many of the major brands you can name. These include:

kitchen cleaners
floor cleaners
bathroom cleaners
fabric care
We don't test on animals nor do we compromise on product standards. 

What also sets us apart is that 100% of TLC's dividends are given to charity. While there are many socially responsible Malaysian companies that support charities by donating a certain percentage of their income or profits to charitable causes, TLC gives 100% of its dividends to charity. ",null,Malaysia,http://www.thetrulylovingcompany.com,Social,null,null,null,null
Catama Borneo,"Catama Borneo is a Social Enterprise working with Artisans in Sarawak, Borneo to create contemporary design pieces using traditional techniques. We strive for preservation through innovation to ensure",Catama Crafts- a Social Enterprise working with Borneon Artisans to develop contemporary craft products,2015,Malaysia,http://catamaborneo.com,Lifestyle & Fashion,null,null,null,null
CHCC of PT Foundation,null,The CHCC is PT Foundationâ€™s Community Health Care Center. We provide much needed healthcare and support to the general public whilst maintaining our commitment to those most at risk of HIV/AIDS.,2015,Malaysia,http://ptfmalaysia.orgv2/hiv-sti-info/,"Medical, Health & Wellness",null,null,null,null
FOLO,null,Organic bio nutrient rich farming community in johor bahru Malaysia,2015,Malaysia,http://folofarms.com,Agriculture,null,null,null,null
GOLD,null,GOLD is a vocational training centre for secondary school graduates with Special Needs â€“ the Learning Disabilities,2015,Malaysia,http://gold3c.blogspot.com,Education,null,null,null,null
Silent Teddies,Production and supply of cookies made by Hearing Impaired.,"The cookies you purchased are freshly made without added preservatives by Silent Teddies Bakery in Kuala Lumpur.
Silent Teddies Bakery is an initiative by the Community Service Centre for the Deaf (CSCD) to equip Deaf youths with entrepreneurial skills that will enable them to be independent . All efforts will be done into supporting the CSCD programmes and its school for Deaf children.",2015,Malaysia,https://www.facebook.com/silentteddiesbakery/,Education,null,null,null,null
8Erth,null,"To increase Malaysia's electronic recycling rate to protect the environment while creating jobs for our Heroes (who collect electronic waste on our behalf) by providing a free pickup service and paying higher than market rate cash rewards to encourage a higher recycling rate. To date, ERTH has diverted more than 25 tons of electronic waste from landfills (25,000+ devices) and has paid tens of thousands in cash rewards to our Heroes and e-waste owners. By comparison, this is 10x the volume collected by MCMC's e-waste campaign in the same time period. https://vimeo.com/326744370 ",2019,Malaysia,http://erth.app/,Environment,null,null,null,null
GoReMaS Enterprise,null,Remas stands for Remote Maintenance System or known as IoT these days. We are focused on IT and Engineering solutions. Currently we are developing Flood sensing system called floodsensed,null,Malaysia,http://pinterest.com/goremas/activities/,Art & Craft,Information & Communication ,null,null,null
GT Envirosentry,null,"At GT Envirosentry, Our product plug and clean filter is a sustainable and low cost filter that provides an on-site treatment of wastewater. Our start-up/SE aims to revolutionize the ways in tackling pollution. ",2019,Malaysia,http://gtenvirosentry.com/,null,null,null,null,null
Mom's Village Venture,Momâ€™s Village is a social enterprise that enables women to be financially independent to rediscover their value in an interdependent ecosystem,null,2019,Malaysia,https://youtu.be/GfiUbhbacig,null,null,null,null,null
Phytopia,Democratizing agricultural technologies for the people.,"We are aiming to bring agricultural technologies back to the ones who need it the most; the common people. Founded by five passionate souls, the enterprise is targetting stay at home parents of the urban poor in Klang Valley with our self developed SHIP (sistem hidroponik integrasi pintar). ",2019,Malaysia,http://phytopia.instaweb.my,Agriculture,Art & Craft,Food & Beverages,null,null
ProjectEd,We are a student-led social enterprise which strives to tackle education inequality in Malaysia by empowering underprivileged students to pursue their tertiary education dreams.,null,2019,Malaysia,https://projected.my,null,null,null,null,null
REMADE BY MAGIC,CHANCE TO CHANGE,"In January 2019, we have set up a social enterprise by the name â€°Ã›Ã·REMADE BY MAGICâ€°Ã›Âª to produce a new and fresh clothing/ attire and accessories from used cloths (UPCYCLING PROCESS) by using our block pattern ruler innovation.
We provide people Ã¥ÃŠwith employment, skills, a decent livelihood and the best possible environment. Thus, they can be self-reliant without fully relying on  the government assistance solely.
Next to social standards and decent working conditions, we try to addÃ¥ÃŠvalueÃ¥ÃŠto the lives of our group. We want them to be passionate, proud and excited about their work.  
We are planning to upskill them until they obtain  Malaysia Skill Certificate or SKM(Sijil Kemahiran Malaysia).",2019,Malaysia,https://www.youtube.com/watch?v=BNswdENjM94,null,null,null,null,null
Sama Sama Spa,Trained therapists from challenging backgrounds provide beauty services for women using premium products allowing customers to pamper themselves while contributing towards a good cause.,The Sama-sama Spa is a socially responsible Spa that uses a corporate profit model to empower underprivileged women in Malaysia and to provide a fully Syariah compliant option of spa products and services to our discerning customers. ,null,Malaysia,https://www.samasamaspa.com/,null,null,null,null,null
Siasitok Sign Language AR Flashcard,null,"Siasitok Sign Language AR Card is a new teaching aids to learn sign language, thus AR Flashcards make learning fun with the technology of Augmented Reality. This flashcard provided with Augmented Reality (AR) technology. By having this technology, ones can learn sign language at anytime, anywhere, easy, cheap, faster and effective.
Deaf person in Malaysia only around 66,000 out of 30 million people in Malaysia making there are minority people in their own country. They are looking like normal people but they are lacking their sense of hearing organ. This might be the problem for them because they canâ€°Ã›Âªt to use the public facility like us, normal person. Not that all, family problem also the cause for deaf people. In normal family, possibility to get deaf child is possible. So parents will try to ask the child to use hearing aids or put implant to the child. This can increase the cost because the hearing aids is costly RM2000 to RM 18,000 and the implant costly around RM50,000 with government subsidies and RM150,000 without subsidies. The problem is, are the deaf have enough money to do the implant? This is the big problem for them. This is also the cause deaf person feels marginalized from normal person. They canâ€°Ã›Âªt speak or communicate to normal person normally and feeling isolated when they try to say something to normal person.

So we came out with the solution teaching aids â€°Ã›Ã’ Siasitok Sign Language AR Flashcard to learn sign language more easy, cheap, faster and efficient.


",2019,Malaysia,https://www.youtube.com/watch?v=RvJW-yArBqI,null,null,null,null,null
True Complexion,null,"Motivated by her personal experience of growing up with a significant birthmark on her face, Rozella Mahjhrin turned her struggles with bullying and mental health issues into a social awareness platform called True Complexion. Created in 2015, True Complexion uses narrative and photography to tell stories of individuals living with differences related to disabilities, medical conditions, mental health issues and body image issues. Since then, the platform has expanded into an inclusive event called Alive! Festival, and a podcast series (which will be launched later this year). This passion project has been run with zero budget, and Rozella's intention is to transform it into a financially sustainable social enterprise that will continue creating impact in the community. The goal of True Complexion is to humanise the various conditions that people live with. change societal's perceptionÃ¥ÃŠof the differently-abled community, empower individuals from the community who are often unseen and unheard, plus create a more diverse and inclusive Malaysia.",2019,Malaysia,https://www.youtube.com/watch?v=wNG9o887Glg&t=24s,null,null,null,null,null
Vocaha,skill coaches platform,null,2019,Malaysia,http://vocaha.com,null,null,null,null,null
Adaptive Wear,null,Adaptive Wear is a functional clothing designed for people with physical disabilities to provide them comfortable experiences in their daily treatment,2019,Malaysia,https://www.facebook.com/adaptive.wear.56,Lifestyle & Fashion,null,null,null,null
BeacoHealth,"BeacoHealth develops innovative solutions built on a foundation of cutting-edge robotics & AI technology to uplift the quality, safety and equitability of healthcare","BeacoHealth, an Australian startup, is developing a device which helps healthcare organisations improve their employees' hand hygiene compliance rates, using Artificial Intelligence and Computer Vision. ",2018,Australia,https://www.beacohealth.com/,null,null,null,null,null
BLUBOX,null,"BluBox is an innovative diagnostic tool for erectile dysfunction, allowing men to know the cause of their ED and seek for treatment. ",2019,Malaysia,https://www.facebook.com/BluBoxLite/,null,null,null,null,null
Boon,null,"Boon is a mobile Wishlist platform, for people to collectively contribute money so they can grant a wish of hospitalised cancer patients to get a toy to play.",null,Malaysia,https://www.facebook.com/malaysiaboon,null,null,null,null,null
CoDel,null,CoDel the new revolution into pharmacy servicing by changing the roles of pharmacists from product oriented to patient oriented,2019,Malaysia,https://www.facebook.com/CoDelPharma/,null,null,null,null,null
G-Ran,null,A mobile App to provide caretaker services for in-patients so they can have quality care during hospitalisation period.,null,Malaysia,null,null,null,null,null,null
Intelligent Volunteer Management System (i-VMS),null,"Saving lives through network of medical volunteers, we strive to keep you alive till help arrive. ",2019,Malaysia,https://www.facebook.com/ivmsbantu/,null,null,null,null,null
Kikucare,null,A Holistic Elderly Care Platform,2019,Malaysia,https://www.facebook.com/Kikucare-The-Holistic-Elderly-Care-Platform-103991960991624,null,null,null,null,null
Locum Net,null,"Online platform for doctors and clinics to find best matches for locum jobs, as if they have a Personal Assistant ",2019,Malaysia,https://locumnet.com.my,null,null,null,null,null
Mom's Journey,null,The platform for mothers and expectant mothers to easily consult a specialist on demand and obtain relevant localized information during their mum journey,2019,Malaysia,https://www.facebook.com/MumsJourny/,null,null,null,null,null
Orthobiz,null,"StroMig : Stroke Mimic Glove , portable hand and finger rehabilitation device ",2019,Malaysia,https://www.facebook.com/Stroomig/,null,null,null,null,null
